cluster_key,village_name,village_code,ward_name,ward_code
223,Onding A,394,East Gem,165
223,Onding B,253,East Gem,165
378,Lihanda (Bar village ),428,East Gem,165
378,Mindhine,252,East Gem,165
844,Fuule,526,East Kabras,139
844,Lukhokho,528,East Kabras,139
844,Mache A,527,East Kabras,139
844,Mache B,190,East Kabras,139
844,Shikulu,191,East Kabras,139
870,Bahati,530,East Kabras,139
870,Isoyi,531,East Kabras,139
870,Mukhuyu,176,East Kabras,139
118,Luru/odenyo,272,East Ugenya,170
118,Sighai/awil,651,East Ugenya,170
118,Sirisia,352,East Ugenya,170
118,Unyolo/osindo,353,East Ugenya,170
121,Konya,356,East Ugenya,170
121,Magombe,268,East Ugenya,170
121,Nyangera,269,East Ugenya,170
121,Nyawita,355,East Ugenya,170
215,Luanda village,270,East Ugenya,170
215,Munjul,392,East Ugenya,170
215,Waldiema,271,East Ugenya,170
215,Yem,391,East Ugenya,170
433,Umer A,274,East Ugenya,170
433,Umer B,275,East Ugenya,170
1289,Buloma c,214,East Wanga,148
1289,Buloma Village B,612,East Wanga,148
1289,Ebungale village,613,East Wanga,148
1393,Bukhubalo village,636,East Wanga,148
1393,Bunyang'anyi Village,637,East Wanga,148
1393,Namundera Village,638,East Wanga,148
1393,Sikata Village,215,East Wanga,148
1393,Sipanga,216,East Wanga,148
20,Bukuyudi A,303,Elugulu,101
20,Kangala D,304,Elugulu,101
20,Kanjala A,102,Elugulu,101
20,Kanjala B,305,Elugulu,101
20,Kanjala C,306,Elugulu,101
64,Igango,327,Elugulu,101
64,Lugulu,328,Elugulu,101
64,Mabanga A,101,Elugulu,101
64,Mabanga B,329,Elugulu,101
64,Mung'ambo,331,Elugulu,101
64,Namudoda,330,Elugulu,101
1347,Iyabo B,625,Etenje,151
1347,IyaboA,624,Etenje,151
1347,Mukhweso A,220,Etenje,151
1347,Mukhweso C,221,Etenje,151
1008,Ikhooli,164,Idakho Central,125
1008,Lwakayo,552,Idakho Central,125
1026,Burendwa village,165,Idakho Central,125
1026,Buyemi Village,556,Idakho Central,125
1026,Ibutura village,166,Idakho Central,125
1014,Masitsi village,167,Idakho North,126
1014,Shikhombelo village,554,Idakho North,126
1014,Shilakaya village,553,Idakho North,126
1014,Shisalachi village,555,Idakho North,126
1055,Kasavai,168,Idakho South,127
1055,Mukomari,557,Idakho South,127
1451,Lwakhupa A,648,Ingostse-Mathia,157
1451,Lwakhupa B,647,Ingostse-Mathia,157
1451,Mwebeni,232,Ingostse-Mathia,157
781,Galilaya,497,Isukha Central,159
781,Isecheno,235,Isukha Central,159
781,Luvili-Kasali,498,Isukha Central,159
789,Lugala Village,234,Isukha Central,159
789,Shiangalangwi village,500,Isukha Central,159
789,Shikoko Village,499,Isukha Central,159
715,Chirobani,236,Isukha East,160
718,Luvini,487,Isukha East,160
718,Mlimani,489,Isukha East,160
718,Mukhuru,239,Isukha East,160
718,Vikutsa,488,Isukha East,160
735,Lukusi A village,492,Isukha East,160
735,Lukusi B,491,Isukha East,160
735,Mukango Village,490,Isukha East,160
735,Sangali Village,237,Isukha East,160
737,Vihiga A,238,Isukha East,160
729,Shilongo,240,Isukha North,161
738,Chesero,493,Isukha North,161
738,Magale,241,Isukha North,161
738,Sambakhalo,494,Isukha North,161
779,Ivuyi,242,Isukha South,162
779,Kwirenyi,495,Isukha South,162
779,Shipalo,496,Isukha South,162
798,Ilala,506,Isukha South,162
798,Musutsu,507,Isukha South,162
798,Shilalio,505,Isukha South,162
798,Shiruli,243,Isukha South,162
807,Inyenyi,512,Isukha South,162
807,Irobo,244,Isukha South,162
807,Lusiola,511,Isukha South,162
1254,Busombi,199,Khalaba,143
1254,Khirale,200,Khalaba,143
1254,Namamba,607,Khalaba,143
1261,Mavolo,608,Khalaba,143
1261,Musamba Rural,610,Khalaba,143
1261,Musamba urban,609,Khalaba,143
1261,Namungu,201,Khalaba,143
1261,Wefwira,202,Khalaba,143
1219,Lunja,589,Kholera,144
1219,Mukhweya B,203,Kholera,144
1244,Harambee  A,599,Kholera,144
1244,Harambee C,600,Kholera,144
1244,Khabukoshia A,204,Kholera,144
1244,Lukusi,598,Kholera,144
1244,Shiabo A,597,Kholera,144
36,Kingandole A,103,Kingandole,102
36,Kingandole B,311,Kingandole,102
36,Munongo,310,Kingandole,102
36,Siduhumu,312,Kingandole,102
1101,Emulundu,570,Kisa Central,128
1101,Emulusio,569,Kisa Central,128
1101,Eshiatieta,169,Kisa Central,128
1101,Mushikulu,170,Kisa Central,128
1101,Mwikongo,568,Kisa Central,128
1120,Ebukwala,171,Kisa Central,128
1120,Eshisecheri,573,Kisa Central,128
1120,Mulunzalatsa,572,Kisa Central,128
1120,Mwichina,571,Kisa Central,128
1059,Ebutuku,558,Kisa East,129
1059,Emanyata,560,Kisa East,129
1059,EMulunya,559,Kisa East,129
1059,Shikwata,172,Kisa East,129
1072,Ematundu,561,Kisa East,129
1072,Evuantha,173,Kisa East,129
1072,Mushikongolo,562,Kisa East,129
1072,Musoto,563,Kisa East,129
648,Emulole mwiluechina,174,Kisa North,130
648,Mutono,483,Kisa North,130
1093,Bushibungu,565,Kisa West,131
1093,Ebutai,566,Kisa West,131
1093,Manyulia,175,Kisa West,131
1093,Manyuria evukalani c,564,Kisa West,131
1236,Bukhutu A,207,Koyonzo,145
1236,Bukhutu B,593,Koyonzo,145
1236,Mundaa,594,Koyonzo,145
1236,Sayangwe,595,Koyonzo,145
1245,Bulosio,604,Koyonzo,145
1245,Eshikala A,603,Koyonzo,145
1245,Eshikala B,601,Koyonzo,145
1245,Eshirumbwe A,208,Koyonzo,145
1245,Eshirumbwe B,602,Koyonzo,145
1247,Emuberi A,606,Koyonzo,145
1247,Emuberi B,605,Koyonzo,145
1247,Ngairwe A,205,Koyonzo,145
1247,Ngairwe B,206,Koyonzo,145
1304,Musoma,217,Lusheya/Lubinu,149
1167,Baharini A,583,Lwandeti,133
1167,Baharini B,582,Lwandeti,133
1167,Shiandiche A,177,Lwandeti,133
129,Agonget A,357,Malaba Central,113
129,Agonget B,136,Malaba Central,113
492,Akadeteway A,137,Malaba Central,113
492,Akadeteway B,454,Malaba Central,113
184,Aguru A,139,Malaba South,114
184,Aguru B,140,Malaba South,114
184,Katanyu B,382,Malaba South,114
184,Onyunyur A,380,Malaba South,114
184,Onyunyur B,381,Malaba South,114
238,Koteko A,138,Malaba South,114
1272,Nanyundo,218,Malaha/Isongo/Makunga,150
1272,Nderema,219,Malaha/Isongo/Makunga,150
1272,Wading'o,611,Malaha/Isongo/Makunga,150
910,Bondeni,192,Manda-Shivanga,140
910,Fubuye,536,Manda-Shivanga,140
910,Mtoto,537,Manda-Shivanga,140
910,Shikulu,538,Manda-Shivanga,140
910,Sindavi,535,Manda-Shivanga,140
1163,Kavurere,580,Manda-Shivanga,140
1163,Mulimani A,193,Manda-Shivanga,140
1163,Mulimani b,581,Manda-Shivanga,140
9,Bukhalalire,104,Marachi Central,103
119,Nella East,105,Marachi Central,103
119,Nella west,354,Marachi Central,103
252,Mulambo,106,Marachi East,104
252,Mung'abo,650,Marachi East,104
252,Seme,405,Marachi East,104
252,Simakolo,404,Marachi East,104
47,Buduma A,319,Marachi North,105
47,Buduma B,108,Marachi North,105
47,Buduma C,318,Marachi North,105
47,Buduma D,109,Marachi North,105
54,Chengo A,326,Marachi North,105
54,Chengo B,322,Marachi North,105
54,Chengo C,324,Marachi North,105
54,Siribo A,110,Marachi North,105
54,Siribo B,325,Marachi North,105
54,Siribo C,323,Marachi North,105
235,Bujumba,111,Marachi West,106
235,Bukhwaku A,400,Marachi West,106
235,Bumina,112,Marachi West,106
235,Tengo,399,Marachi West,106
503,NyamwangaA,458,Marachi West,106
503,NyamwangaB,459,Marachi West,106
503,Ugaji B,113,Marachi West,106
570,Buyoka,468,Marama Central,120
570,Ebuambi,151,Marama Central,120
570,Eburembe,467,Marama Central,120
570,Emakongolo,152,Marama Central,120
570,Evuanthala,466,Marama Central,120
551,Ebusitso,153,Marama North,121
551,Ebutunyi,464,Marama North,121
551,Eshikongolwa,463,Marama North,121
551,Eshishebu,154,Marama North,121
589,Emaiga,157,Marama South,122
589,Emauko,472,Marama South,122
589,Eshitsakha,158,Marama South,122
605,Bukuti,475,Marama South,122
605,Lukanji C,473,Marama South,122
605,Lunyiko,474,Marama South,122
605,Munanga,155,Marama South,122
605,Shikhonga,156,Marama South,122
605,Uhonga,476,Marama South,122
517,Ekumera,461,Marama West,123
517,Eshibalakalu,460,Marama West,123
517,Mukhura,161,Marama West,123
517,Mushukulu,462,Marama West,123
587,Emulore,159,Marama West,123
587,Emunuku,469,Marama West,123
587,Eshikangu,471,Marama West,123
587,Mulimani,470,Marama West,123
587,Shitoyi,160,Marama West,123
555,Ematiri,465,Marenyo - Shianda,124
555,Eshikwata,162,Marenyo - Shianda,124
555,Maring'a,163,Marenyo - Shianda,124
1201,Bukosia A,584,Mayoni,146
1201,Emulole,209,Mayoni,146
1201,Eshiakula,586,Mayoni,146
1201,Mayanza,585,Mayoni,146
1201,Mundindi,587,Mayoni,146
