county_name,county_key,constituency_name,constituency_key,ward_name,ward_key,cluster_key,treat,treat_code
Kakamega,102,Malava,110,Manda-Shivanga,140,910,calendar,2
Kakamega,102,Malava,110,South Kabras,142,921,bracelet,4
Kakamega,102,Malava,110,South Kabras,142,929,bracelet,4
Kakamega,102,Malava,110,South Kabras,142,951,ink,3
Kakamega,102,Malava,110,South Kabras,142,954,calendar,2
Kakamega,102,Malava,110,Shirugu-Mugai,141,979,control,1
Kakamega,102,Ikolomani,106,Idakho Central,125,1008,calendar,2
Kakamega,102,Ikolomani,106,Idakho North,126,1014,ink,3
Kakamega,102,Ikolomani,106,Idakho Central,125,1026,ink,3
Kakamega,102,Ikolomani,106,Idakho South,127,1055,bracelet,4
Kakamega,102,Khwisero,107,Kisa East,129,1059,bracelet,4
Kakamega,102,Khwisero,107,Kisa East,129,1072,calendar,2
Kakamega,102,Khwisero,107,Kisa West,131,1093,control,1
Siaya,103,Gem,116,Central Gem,164,1094,ink,3
Kakamega,102,Khwisero,107,Kisa Central,128,1101,control,1
Kakamega,102,Khwisero,107,Kisa Central,128,1120,bracelet,4
Kakamega,102,Lugari,108,Chevaywa,132,1147,calendar,2
Kakamega,102,Malava,110,Butali/Chegulo,137,1152,ink,3
Kakamega,102,Malava,110,Manda-Shivanga,140,1163,calendar,2
Kakamega,102,Lugari,108,Lwandeti,133,1167,control,1
Kakamega,102,Matungu,111,Mayoni,146,1201,ink,3
Kakamega,102,Matungu,111,Namamali,147,1216,ink,3
Kakamega,102,Matungu,111,Kholera,144,1219,ink,3
Kakamega,102,Matungu,111,Namamali,147,1234,calendar,2
Kakamega,102,Matungu,111,Koyonzo,145,1236,bracelet,4
Kakamega,102,Matungu,111,Mayoni,146,1242,control,1
Kakamega,102,Matungu,111,Kholera,144,1244,calendar,2
Kakamega,102,Matungu,111,Koyonzo,145,1245,bracelet,4
Kakamega,102,Matungu,111,Koyonzo,145,1247,bracelet,4
Kakamega,102,Matungu,111,Khalaba,143,1254,bracelet,4
Kakamega,102,Matungu,111,Khalaba,143,1261,control,1
Kakamega,102,Mumias East,112,Malaha/Isongo/Makunga,150,1272,ink,3
Kakamega,102,Mumias East,112,East Wanga,148,1289,ink,3
Kakamega,102,Mumias East,112,Lusheya/Lubinu,149,1304,control,1
Kakamega,102,Mumias West,113,Mumias Central,152,1313,calendar,2
Kakamega,102,Mumias West,113,Mumias Central,152,1323,ink,3
Kakamega,102,Mumias West,113,Etenje,151,1347,control,1
Kakamega,102,Mumias West,113,Musanda,153,1355,ink,3
Kakamega,102,Mumias West,113,Musanda,153,1370,control,1
Kakamega,102,Navakholo,114,Bunyala West,156,1389,calendar,2
Kakamega,102,Mumias East,112,East Wanga,148,1393,calendar,2
Kakamega,102,Navakholo,114,Bunyala West,156,1406,calendar,2
Kakamega,102,Navakholo,114,Bunyala East,155,1426,bracelet,4
Kakamega,102,Navakholo,114,Bunyala Central,154,1442,ink,3
Kakamega,102,Navakholo,114,Shinoyi-Shikomari-Esumeyia,158,1449,bracelet,4
Kakamega,102,Navakholo,114,Ingostse-Mathia,157,1451,control,1
