ward_name,ward_key,cluster_key,Original,kiswahili,english
Koyonzo,145,1245,Shaban Masanga's homestead Opp. St. Margret Pri. School,Kwa boma la Shaban Masanga Opposite St. Margret Pri. School,Shaban Masanga's homestead Opp. St. Margret Pri. School
Koyonzo,145,1247,Luanda Catholic Church Eshikhondi,Kanisa la Katoliko Eshikhondi,Luanda Catholic Church Eshikhondi
Khalaba,143,1254,Stanslas Barasa's homestead,Kwa boma la Stanslas ,Stanslas Barasa's homestead
Khalaba,143,1261,St.Siphrose Lutasio Catholic Church,Kanisa la Katoliko la Mtakatifu Siphrose Lutasio,St.Siphrose Lutasio Catholic Church
Malaha/Isongo/Makunga,150,1272,Chiefs Camp,Kwa kambi ya chifu,Chiefs Camp
East Wanga,148,1289,ACK Bungale Church,Kanisa la ACK Bungale,ACK  Church Bungale
Lusheya/Lubinu,149,1304,UPC Church Shianda,Kanisa la UPC Shianda,UPC Church Shianda
Mumias Central,152,1313,Friends Church Shibale,Kanisa la Friends  Shibale,Friends Church Shibale
Mumias Central,152,1323,ACK Church Ekero,Kanisa la ACK  Ekero,ACK Church Ekero
Etenje,151,1347,Nyapeta Clinic,kliniki  Nyapeta,Nyapeta Clinic
Musanda,153,1355,Ass. Chief's Office Etenje,Kwa afisi ya naibu wa chief Etenje,Ass. Chief's Office Etenje
Musanda,153,1370,ACK Shihaka Church,Kanisa la ACK Shihaka,ACK Church Shihaka 
Bunyala West,156,1389,Salvation Army Church Mukama,Kanisa la  Jeshi la Waokovu la  Mukama,Salvation Army Church Mukama
East Wanga,148,1393,Namundera Friends Church,Kanisa la Friends Namundera,Friends Church Namundera 
Bunyala West,156,1406,Friends Church Kisembe,Kanisa la Friends Kisembe,Friends Church Kisembe
Bunyala East,155,1426,Lutaso Mosque,Msikiti wa Lutaso,Lutaso Mosque
Bunyala Central,154,1442,Mukhuyu Baptist Church,Kanisa la Baptist Mukhuyu,Baptist Church Mukhuyu
Shinoyi-Shikomari-Esumeyia,158,1449,Esumeyia ACK Church,Kanisa la ACK Esumeyia,ACK Church Esumeyia
Ingostse-Mathia,157,1451,Siregoi Friends Church,Kanisa la Friends Siregoi,Friends Church Siregoi 
