# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1772141488
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stanfit/basic_model_0_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_strata,stratum_intercept.1,stratum_intercept.2,stratum_intercept.3,beta.1.1,beta.2.1,beta.3.1,beta.1.2,beta.2.2,beta.3.2,beta.1.3,beta.2.3,beta.3.3,dist_effects.1.1,dist_effects.2.1,dist_effects.3.1,incentive_dist_effects.1.1,incentive_dist_effects.2.1,incentive_dist_effects.3.1,incentive_dist_effects.1.2,incentive_dist_effects.2.2,incentive_dist_effects.3.2,incentive_dist_effects.1.3,incentive_dist_effects.2.3,incentive_dist_effects.3.3,cluster_effects.1,cluster_effects.2,cluster_effects.3,cluster_effects.4,cluster_effects.5,cluster_effects.6,cluster_effects.7,cluster_effects.8,cluster_effects.9,cluster_effects.10,cluster_effects.11,cluster_effects.12,cluster_effects.13,cluster_effects.14,cluster_effects.15,cluster_effects.16,cluster_effects.17,cluster_effects.18,cluster_effects.19,cluster_effects.20,cluster_effects.21,cluster_effects.22,cluster_effects.23,cluster_effects.24,cluster_effects.25,cluster_effects.26,cluster_effects.27,cluster_effects.28,cluster_effects.29,cluster_effects.30,cluster_effects.31,cluster_effects.32,cluster_effects.33,cluster_effects.34,cluster_effects.35,cluster_effects.36,cluster_effects.37,cluster_effects.38,cluster_effects.39,cluster_effects.40,cluster_effects.41,cluster_effects.42,cluster_effects.43,cluster_effects.44,cluster_effects.45,cluster_effects.46,cluster_effects.47,cluster_effects.48,cluster_effects.49,cluster_effects.50,cluster_effects.51,cluster_effects.52,cluster_effects.53,cluster_effects.54,cluster_effects.55,cluster_effects.56,cluster_effects.57,cluster_effects.58,cluster_effects.59,cluster_effects.60,cluster_effects.61,cluster_effects.62,cluster_effects.63,cluster_effects.64,cluster_effects.65,cluster_effects.66,cluster_effects.67,cluster_effects.68,cluster_effects.69,cluster_effects.70,cluster_effects.71,cluster_effects.72,cluster_effects.73,cluster_effects.74,cluster_effects.75,cluster_effects.76,cluster_effects.77,cluster_effects.78,cluster_effects.79,cluster_effects.80,cluster_effects.81,cluster_effects.82,cluster_effects.83,cluster_effects.84,cluster_effects.85,cluster_effects.86,cluster_effects.87,cluster_effects.88,cluster_effects.89,cluster_effects.90,cluster_effects.91,cluster_effects.92,cluster_effects.93,cluster_effects.94,cluster_effects.95,cluster_effects.96,cluster_effects.97,cluster_effects.98,cluster_effects.99,cluster_effects.100,cluster_effects.101,cluster_effects.102,cluster_effects.103,cluster_effects.104,cluster_effects.105,cluster_effects.106,cluster_effects.107,cluster_effects.108,cluster_effects.109,cluster_effects.110,cluster_effects.111,cluster_effects.112,cluster_effects.113,cluster_effects.114,cluster_effects.115,cluster_effects.116,cluster_effects.117,cluster_effects.118,cluster_effects.119,cluster_effects.120,cluster_effects.121,cluster_effects.122,cluster_effects.123,cluster_effects.124,cluster_effects.125,cluster_effects.126,cluster_effects.127,cluster_effects.128,cluster_effects.129,cluster_effects.130,cluster_effects.131,cluster_effects.132,cluster_effects.133,cluster_effects.134,cluster_effects.135,cluster_effects.136,cluster_effects.137,cluster_effects.138,cluster_effects.139,cluster_effects.140,cluster_effects.141,cluster_effects.142,cluster_effects.143,cluster_effects.144,tau_beta.1,tau_beta.2,tau_beta.3,tau_dist.1,tau_incentive_dist.1,tau_incentive_dist.2,tau_incentive_dist.3,tau_cluster_effect,Sigma_beta.1.1,Sigma_beta.2.1,Sigma_beta.3.1,Sigma_beta.1.2,Sigma_beta.2.2,Sigma_beta.3.2,Sigma_beta.1.3,Sigma_beta.2.3,Sigma_beta.3.3,Sigma_dist.1.1,Sigma_incentive_dist.1.1,Sigma_incentive_dist.2.1,Sigma_incentive_dist.3.1,Sigma_incentive_dist.1.2,Sigma_incentive_dist.2.2,Sigma_incentive_dist.3.2,Sigma_incentive_dist.1.3,Sigma_incentive_dist.2.3,Sigma_incentive_dist.3.3
-6813.44,0.666667,0.0625,2,6,1,8352.78,1.74295,0.899792,-1.1888,0.393516,0.279953,-0.405025,-0.0566549,0.77642,-1.20348,-0.52375,-0.655109,0.321445,-0.902245,-0.0592382,-1.09906,-0.178776,-0.857636,-1.30716,-0.773782,-1.33085,0.22514,-0.655158,0.633824,-0.531431,-0.819689,-1.52507,0.0330748,0.889811,-1.41409,1.7072,-1.92088,-0.994658,-1.75539,1.41363,0.286781,-0.682472,-0.0976425,0.273205,0.769973,0.319078,-0.292644,-0.764801,-1.41516,-0.535914,-0.413886,-1.18608,-0.192569,1.54832,0.989374,0.0283818,1.13235,-1.57622,1.12157,0.19049,1.7227,-1.58763,-1.58413,0.724784,-0.97251,-0.824564,-0.947441,0.866985,1.55234,-0.286304,-0.0611757,0.63782,0.885035,1.34049,1.00815,-0.556509,-0.251666,1.22241,-1.72681,-0.0800186,0.124475,1.08658,0.358893,1.47331,1.82069,1.73771,0.426036,-0.826064,-1.40958,-1.12654,1.56753,0.881204,0.786072,0.111187,-0.303816,0.793552,1.51672,-0.693249,1.19801,0.505625,-0.1601,1.52893,-0.300934,-1.5785,-0.903602,1.39639,0.249003,-1.97146,-0.755417,-1.77746,-0.827462,0.794973,-1.01449,0.449893,-0.234116,0.901749,1.37186,1.46622,-1.76123,-0.100997,-1.62164,-0.54655,-0.242751,-0.0955856,-0.341227,-1.36601,0.450962,-1.71144,-0.676637,-1.02126,1.27082,-0.199826,-0.282974,-0.979706,-1.06102,1.53752,-1.74415,-1.92315,1.67914,-1.63862,1.16132,0.601208,0.600019,0.0504307,0.164384,-1.05174,1.06198,1.3279,-1.71335,-0.325263,-1.25159,-0.56013,0.0406322,-1.26648,0.442063,-1.58901,-1.60942,-1.8061,0.717628,-1.57467,-1.34182,-1.39524,1.38619,0.483593,-0.277571,1.25984,-1.48878,0.0783018,0.111303,1.02174,-1.30277,-0.640322,-0.396004,0.953754,0.668576,2.16104,0.301944,0.200606,0.474924,0.307849,3.55964,0.554588,2.17997,2.16104,0,0,0,0.301944,0,0,0,0.200606,0.474924,0.307849,0,0,0,3.55964,0,0,0,0.554588
-6813.44,0,7.84723,0,1,1,6904.91,1.74295,0.899792,-1.1888,0.393516,0.279953,-0.405025,-0.0566549,0.77642,-1.20348,-0.52375,-0.655109,0.321445,-0.902245,-0.0592382,-1.09906,-0.178776,-0.857636,-1.30716,-0.773782,-1.33085,0.22514,-0.655158,0.633824,-0.531431,-0.819689,-1.52507,0.0330748,0.889811,-1.41409,1.7072,-1.92088,-0.994658,-1.75539,1.41363,0.286781,-0.682472,-0.0976425,0.273205,0.769973,0.319078,-0.292644,-0.764801,-1.41516,-0.535914,-0.413886,-1.18608,-0.192569,1.54832,0.989374,0.0283818,1.13235,-1.57622,1.12157,0.19049,1.7227,-1.58763,-1.58413,0.724784,-0.97251,-0.824564,-0.947441,0.866985,1.55234,-0.286304,-0.0611757,0.63782,0.885035,1.34049,1.00815,-0.556509,-0.251666,1.22241,-1.72681,-0.0800186,0.124475,1.08658,0.358893,1.47331,1.82069,1.73771,0.426036,-0.826064,-1.40958,-1.12654,1.56753,0.881204,0.786072,0.111187,-0.303816,0.793552,1.51672,-0.693249,1.19801,0.505625,-0.1601,1.52893,-0.300934,-1.5785,-0.903602,1.39639,0.249003,-1.97146,-0.755417,-1.77746,-0.827462,0.794973,-1.01449,0.449893,-0.234116,0.901749,1.37186,1.46622,-1.76123,-0.100997,-1.62164,-0.54655,-0.242751,-0.0955856,-0.341227,-1.36601,0.450962,-1.71144,-0.676637,-1.02126,1.27082,-0.199826,-0.282974,-0.979706,-1.06102,1.53752,-1.74415,-1.92315,1.67914,-1.63862,1.16132,0.601208,0.600019,0.0504307,0.164384,-1.05174,1.06198,1.3279,-1.71335,-0.325263,-1.25159,-0.56013,0.0406322,-1.26648,0.442063,-1.58901,-1.60942,-1.8061,0.717628,-1.57467,-1.34182,-1.39524,1.38619,0.483593,-0.277571,1.25984,-1.48878,0.0783018,0.111303,1.02174,-1.30277,-0.640322,-0.396004,0.953754,0.668576,2.16104,0.301944,0.200606,0.474924,0.307849,3.55964,0.554588,2.17997,2.16104,0,0,0,0.301944,0,0,0,0.200606,0.474924,0.307849,0,0,0,3.55964,0,0,0,0.554588
-6813.44,0,1.10816,0,1,1,6915.17,1.74295,0.899792,-1.1888,0.393516,0.279953,-0.405025,-0.0566549,0.77642,-1.20348,-0.52375,-0.655109,0.321445,-0.902245,-0.0592382,-1.09906,-0.178776,-0.857636,-1.30716,-0.773782,-1.33085,0.22514,-0.655158,0.633824,-0.531431,-0.819689,-1.52507,0.0330748,0.889811,-1.41409,1.7072,-1.92088,-0.994658,-1.75539,1.41363,0.286781,-0.682472,-0.0976425,0.273205,0.769973,0.319078,-0.292644,-0.764801,-1.41516,-0.535914,-0.413886,-1.18608,-0.192569,1.54832,0.989374,0.0283818,1.13235,-1.57622,1.12157,0.19049,1.7227,-1.58763,-1.58413,0.724784,-0.97251,-0.824564,-0.947441,0.866985,1.55234,-0.286304,-0.0611757,0.63782,0.885035,1.34049,1.00815,-0.556509,-0.251666,1.22241,-1.72681,-0.0800186,0.124475,1.08658,0.358893,1.47331,1.82069,1.73771,0.426036,-0.826064,-1.40958,-1.12654,1.56753,0.881204,0.786072,0.111187,-0.303816,0.793552,1.51672,-0.693249,1.19801,0.505625,-0.1601,1.52893,-0.300934,-1.5785,-0.903602,1.39639,0.249003,-1.97146,-0.755417,-1.77746,-0.827462,0.794973,-1.01449,0.449893,-0.234116,0.901749,1.37186,1.46622,-1.76123,-0.100997,-1.62164,-0.54655,-0.242751,-0.0955856,-0.341227,-1.36601,0.450962,-1.71144,-0.676637,-1.02126,1.27082,-0.199826,-0.282974,-0.979706,-1.06102,1.53752,-1.74415,-1.92315,1.67914,-1.63862,1.16132,0.601208,0.600019,0.0504307,0.164384,-1.05174,1.06198,1.3279,-1.71335,-0.325263,-1.25159,-0.56013,0.0406322,-1.26648,0.442063,-1.58901,-1.60942,-1.8061,0.717628,-1.57467,-1.34182,-1.39524,1.38619,0.483593,-0.277571,1.25984,-1.48878,0.0783018,0.111303,1.02174,-1.30277,-0.640322,-0.396004,0.953754,0.668576,2.16104,0.301944,0.200606,0.474924,0.307849,3.55964,0.554588,2.17997,2.16104,0,0,0,0.301944,0,0,0,0.200606,0.474924,0.307849,0,0,0,3.55964,0,0,0,0.554588
-6813.44,0,0.0986461,0,1,1,6912.24,1.74295,0.899792,-1.1888,0.393516,0.279953,-0.405025,-0.0566549,0.77642,-1.20348,-0.52375,-0.655109,0.321445,-0.902245,-0.0592382,-1.09906,-0.178776,-0.857636,-1.30716,-0.773782,-1.33085,0.22514,-0.655158,0.633824,-0.531431,-0.819689,-1.52507,0.0330748,0.889811,-1.41409,1.7072,-1.92088,-0.994658,-1.75539,1.41363,0.286781,-0.682472,-0.0976425,0.273205,0.769973,0.319078,-0.292644,-0.764801,-1.41516,-0.535914,-0.413886,-1.18608,-0.192569,1.54832,0.989374,0.0283818,1.13235,-1.57622,1.12157,0.19049,1.7227,-1.58763,-1.58413,0.724784,-0.97251,-0.824564,-0.947441,0.866985,1.55234,-0.286304,-0.0611757,0.63782,0.885035,1.34049,1.00815,-0.556509,-0.251666,1.22241,-1.72681,-0.0800186,0.124475,1.08658,0.358893,1.47331,1.82069,1.73771,0.426036,-0.826064,-1.40958,-1.12654,1.56753,0.881204,0.786072,0.111187,-0.303816,0.793552,1.51672,-0.693249,1.19801,0.505625,-0.1601,1.52893,-0.300934,-1.5785,-0.903602,1.39639,0.249003,-1.97146,-0.755417,-1.77746,-0.827462,0.794973,-1.01449,0.449893,-0.234116,0.901749,1.37186,1.46622,-1.76123,-0.100997,-1.62164,-0.54655,-0.242751,-0.0955856,-0.341227,-1.36601,0.450962,-1.71144,-0.676637,-1.02126,1.27082,-0.199826,-0.282974,-0.979706,-1.06102,1.53752,-1.74415,-1.92315,1.67914,-1.63862,1.16132,0.601208,0.600019,0.0504307,0.164384,-1.05174,1.06198,1.3279,-1.71335,-0.325263,-1.25159,-0.56013,0.0406322,-1.26648,0.442063,-1.58901,-1.60942,-1.8061,0.717628,-1.57467,-1.34182,-1.39524,1.38619,0.483593,-0.277571,1.25984,-1.48878,0.0783018,0.111303,1.02174,-1.30277,-0.640322,-0.396004,0.953754,0.668576,2.16104,0.301944,0.200606,0.474924,0.307849,3.55964,0.554588,2.17997,2.16104,0,0,0,0.301944,0,0,0,0.200606,0.474924,0.307849,0,0,0,3.55964,0,0,0,0.554588
-5526.7,1,0.00718679,4,15,0,6907.16,1.43905,0.0868782,0.0455708,-0.129851,0.100924,-0.163713,-0.293979,0.621397,-0.795143,-0.554397,-0.904934,0.702302,-0.790142,-0.395234,-0.262026,-0.314789,-1.02015,-1.11552,-0.842142,-1.35926,0.452483,-0.907434,0.588879,-0.40064,-0.756711,-1.44615,0.0119907,0.835835,-1.32572,1.66033,-1.8864,-1.05672,-1.80439,1.45677,0.273819,-0.856516,-0.121497,0.235355,0.898747,0.376133,-0.192446,-0.812807,-1.3165,-0.549229,-0.416767,-1.17156,-0.235281,1.34898,0.958588,0.0339232,1.02993,-1.47049,1.04579,0.232901,1.72172,-1.60778,-1.58431,0.745702,-1.08146,-0.782331,-1.05361,0.892855,1.48053,-0.320354,-0.152701,0.683982,0.811723,1.30647,0.932218,-0.664491,-0.309358,1.1347,-1.73747,-0.141927,0.109118,1.05579,0.31163,1.41449,1.73909,1.70847,0.315923,-0.847376,-1.32125,-1.14181,1.6238,0.847204,0.718681,0.115026,-0.280608,0.792453,1.48384,-0.639403,1.18605,0.440807,-0.200424,1.59286,-0.271669,-1.62467,-0.96475,1.3959,0.479463,-1.8745,-0.657233,-1.66649,-0.793908,0.694333,-0.95103,0.41995,-0.224559,0.940038,1.27636,1.56888,-1.72731,-0.0721911,-1.50962,-0.527804,-0.307321,-0.106294,-0.358555,-1.29567,0.483117,-1.60951,-0.626332,-0.992407,1.13818,-0.181449,-0.269509,-0.984482,-1.03845,1.5959,-1.69495,-1.85155,1.54311,-1.52799,1.22455,0.474343,0.5242,-0.0502426,0.0496781,-1.01992,0.944378,1.37694,-1.67809,-0.187203,-1.22494,-0.437768,-0.0164239,-1.23462,0.436961,-1.5475,-1.53606,-1.73999,0.758431,-1.72647,-1.38639,-1.30155,1.38638,0.483779,-0.356386,1.23128,-1.50136,0.232277,0.0246541,0.948633,-1.26878,-0.615302,-0.438765,0.975067,0.729811,2.20521,0.300376,0.207206,0.462485,0.297416,3.31655,0.593059,1.60356,2.20521,0,0,0,0.300376,0,0,0,0.207206,0.462485,0.297416,0,0,0,3.31655,0,0,0,0.593059
-5126.44,1,0.00952276,5,31,0,5614.07,1.78705,-0.646787,-0.402145,-0.497029,0.00137745,0.1093,-0.766255,0.0628004,-0.340283,-0.162056,-0.523152,0.135888,-0.260839,-0.394825,-0.222148,-0.394856,-0.85442,-0.572735,-0.857312,-1.59854,0.207152,-0.719793,0.542829,-0.439356,-0.808868,-1.28603,0.223893,0.570756,-1.03889,1.47532,-1.7721,-0.849208,-1.69004,1.55899,0.273095,-0.92882,-0.0978273,0.284765,0.781744,0.268292,-0.202182,-0.543561,-1.23767,-0.501094,-0.361849,-0.988227,-0.266448,1.07326,0.510947,-0.037144,0.963346,-1.37054,0.890216,0.526956,1.72285,-1.55683,-1.6109,0.689748,-1.06754,-0.751248,-1.23096,0.922084,1.39352,-0.144275,-0.0133009,0.794503,0.833324,1.04987,0.906211,-0.361389,-0.230352,0.823043,-1.60633,0.151316,0.0171347,0.885212,0.33294,1.41656,1.61731,1.47906,0.220311,-0.893969,-1.27817,-1.22656,1.48149,0.909794,0.990868,0.296751,-0.215598,0.597491,1.55668,-0.372802,0.93951,0.430402,-0.32656,1.51243,-0.130851,-1.59712,-1.05384,1.09376,0.15153,-2.0465,-0.375241,-1.72744,-0.592537,0.575087,-0.913778,0.510242,-0.273353,1.17167,1.25963,1.44244,-1.60843,0.0603364,-1.54798,-0.596045,-0.158015,-0.18482,-0.66136,-1.18717,0.226264,-1.61568,-0.735857,-1.11088,0.856442,0.0201424,-0.530542,-0.457695,-0.897839,1.31765,-1.51792,-1.86167,1.103,-1.50416,0.880222,0.240878,0.749124,0.0836236,0.0790482,-0.611206,0.865174,1.07867,-1.38108,0.0188313,-1.39403,-0.463464,0.22322,-1.01426,0.437604,-1.30075,-1.3461,-1.65484,0.866932,-1.68141,-1.21495,-1.24551,1.21514,0.290743,-0.629999,1.25691,-1.45623,0.145002,-0.137336,0.891267,-1.22207,-0.557681,-0.251356,0.810786,0.739394,1.94451,0.366674,0.214947,0.523603,0.334868,3.55261,0.594504,0.870394,1.94451,0,0,0,0.366674,0,0,0,0.214947,0.523603,0.334868,0,0,0,3.55261,0,0,0,0.594504
-4398.14,0.999343,0.0145613,6,63,0,5212.35,1.73155,-0.476687,-0.547994,-1.06491,0.0550931,-0.124357,0.100516,-0.117691,0.781528,0.525909,-0.0721332,-0.0606164,1.30388,-0.0851138,-0.647883,-0.735556,-0.2774,0.691257,-0.609933,-0.800955,-0.666849,-0.135865,0.182664,0.857147,-0.935335,-0.4981,0.5036,0.455378,0.215567,0.796905,-1.08716,-0.159669,-0.673606,1.37581,0.363629,-1.63338,-0.594692,-0.732601,0.274832,1.3184,0.751171,-0.0827866,-0.077549,0.210224,-0.138298,-0.0563081,-0.0834174,1.0902,-0.489711,0.0500428,-0.265147,-0.760105,0.0387639,0.759776,0.411432,-1.16692,-0.796581,0.552501,-0.0419447,-0.748025,-0.529699,0.000177106,0.55499,-0.542872,0.173149,0.162778,0.776147,-0.308224,0.104099,-0.0828027,-0.294053,0.168927,-0.16947,0.561055,0.4053,0.235406,0.291569,0.537518,0.734988,0.549869,-0.19512,-0.526287,-1.00686,-0.861016,0.167799,0.639229,0.912267,-0.414819,-0.157623,0.359465,1.17152,-0.21598,-0.426224,0.340632,-0.0310742,1.15687,-0.111239,-0.267831,-0.800975,0.0641972,-0.696724,-1.87242,0.402521,-1.92229,-0.392403,0.0054008,-0.0483816,0.149234,-0.426249,0.641853,0.0849292,0.381519,-0.320674,-0.610432,-0.191747,-0.609327,-0.287294,0.120811,-1.18893,-0.351438,-0.710104,-0.562042,-0.911325,-0.574027,0.751527,0.511762,-0.480808,-0.340749,0.58215,-0.3562,-1.26801,-1.16835,-0.295183,-0.162441,0.30417,-0.650144,0.596726,0.121038,-0.183506,0.185073,-0.227775,-0.152352,-0.622158,0.409659,-1.54582,0.0941081,0.285417,0.403768,0.469293,-1.02414,-0.459529,-1.12073,1.09296,-1.57498,-0.826242,-0.718338,0.706687,0.195384,-0.517729,0.40171,0.294176,0.0233337,-0.038212,0.0242177,-0.399154,0.527486,0.22477,-0.114903,1.48537,1.32014,0.434211,0.144885,0.612917,0.216872,1.86541,0.48802,0.535684,1.32014,0,0,0,0.434211,0,0,0,0.144885,0.612917,0.216872,0,0,0,1.86541,0,0,0,0.48802
-4351.97,1,0.0243008,6,63,0,4492.98,1.41973,-0.615774,-0.306491,-0.970747,-0.149026,-1.06404,0.44527,0.586217,0.260097,0.547973,0.207796,0.297196,0.104775,0.100057,-0.291148,-0.649515,0.252636,0.277521,0.458515,-2.03636,-1.10917,0.619453,-0.562821,-0.68069,0.0411688,0.192413,-0.644092,-0.835334,0.890371,-1.20782,1.31467,0.329019,0.448594,-1.22405,1.1267,-0.482202,-0.560987,-0.865654,-1.3019,0.162513,-0.087738,0.923941,0.431775,1.17715,0.913237,0.748516,-0.733495,-1.75777,-2.04864,-0.141775,-1.62762,-0.0813597,0.893802,0.421915,-0.683764,1.13288,-0.900619,-0.303129,-0.119574,-0.431579,0.885165,-1.02303,-0.205851,-0.59916,-0.5643,0.369556,0.386146,-0.248184,-0.497818,0.605556,-0.394748,-0.0781066,0.849685,0.987983,0.454896,0.107886,-0.0730868,-0.748871,-0.822238,-0.235074,0.586808,-0.583036,0.450811,0.102341,-0.192277,0.873544,0.190255,-1.32657,-0.583221,-0.0867994,0.204914,0.181882,-0.450775,0.396393,0.239712,0.232263,-0.297649,0.48234,-0.271269,-0.406362,-0.78617,0.738529,1.42585,-1.95763,-0.218498,0.466925,0.500458,0.236361,0.333164,0.857843,1.10821,-0.993634,0.682448,0.101089,0.168139,-2.04276,0.0173932,-0.0411355,-0.467399,1.13541,0.829629,-0.634179,0.561069,0.946274,1.00302,0.540048,-0.55621,-1.01142,0.83764,0.685428,0.296961,0.254669,-1.14086,0.463682,-0.693475,-1.45745,-0.25875,-0.0783108,-0.909789,0.823354,-1.56585,-0.332005,-0.0526634,0.0541739,-0.799813,0.705244,-0.209179,0.999158,0.380869,0.125358,-0.309096,1.50695,1.06202,-0.0922832,0.0568424,-1.7146,0.155221,-0.658558,0.0261553,-0.725924,1.63712,0.180857,0.180801,-0.988278,0.86112,0.23359,0.70561,-0.49765,1.13923,8.20343,0.306914,0.0876306,0.641974,0.236764,2.29868,0.608151,0.724206,8.20343,0,0,0,0.306914,0,0,0,0.0876306,0.641974,0.236764,0,0,0,2.29868,0,0,0,0.608151
-4267.65,0.995017,0.0429886,5,31,0,4436.24,1.50031,-0.0818863,-0.450639,-0.796807,-0.0207607,0.0882037,0.591539,-0.322393,0.0707822,0.29115,-0.0849338,0.254481,0.2965,-0.366336,-0.774071,-0.658192,-0.230972,-0.327451,-1.51079,-1.68117,0.692614,0.46465,-0.732824,0.277407,0.248308,0.670694,-0.62513,0.000686512,0.503418,-0.602391,-0.083294,-0.356599,-0.113503,0.887363,0.508619,-0.82456,-0.476418,-0.0245288,-0.47355,0.497116,-0.000741749,0.209889,0.273955,0.273157,0.63652,0.506677,0.535849,1.52806,-0.454392,0.292504,-0.0903462,-0.320759,0.145007,0.723565,0.351431,-0.282078,-0.827455,-1.00748,-0.489918,-0.0645235,-0.23716,-0.122373,1.09007,-0.157638,-0.521401,-0.689642,0.211784,0.0020825,-0.391951,0.228387,-0.746195,-0.539662,0.778986,0.319575,-0.00331715,-0.104631,-0.538197,-0.659335,0.25468,-0.556772,0.169813,-0.115527,-0.557202,-0.601746,-0.238887,0.848299,0.25084,-0.750038,-1.12792,-0.498407,-0.285066,-0.256413,-0.616714,-0.194259,0.0137342,0.519674,-0.0604702,0.187908,-0.879338,-0.525613,-0.735693,-1.24119,0.719754,-1.19164,-0.333115,-0.106117,0.378777,0.559138,-0.198651,0.763438,0.333161,-0.528676,0.29441,-0.544032,0.0183372,-0.0226071,-0.329114,0.286398,-0.879497,-0.0983072,0.190658,-0.235565,-0.234386,-0.0875482,1.13092,0.775158,-0.0982036,-0.688135,0.591163,-0.34878,-0.652382,-1.22559,-0.340506,0.471867,-0.421405,-0.252696,0.740218,-0.347493,-0.415104,0.760572,0.114372,-0.499466,-0.231133,0.290408,-0.957765,0.329984,-0.145182,0.51501,0.351826,-0.188736,0.226756,0.241479,0.853546,-0.957916,-0.227271,-0.403993,0.40858,0.0729124,-0.285743,0.777462,1.21163,-0.208042,-0.101504,-0.153823,0.644867,0.0901798,1.01157,-0.270575,1.68967,5.08751,0.548768,0.105309,2.74275,0.639817,3.60005,0.625674,0.592867,5.08751,0,0,0,0.548768,0,0,0,0.105309,2.74275,0.639817,0,0,0,3.60005,0,0,0,0.625674
-4263.1,0.144562,0.0775114,2,7,1,4339.58,1.73445,-0.1566,-0.544208,-0.825601,0.0152353,0.0225434,0.531454,-0.215068,0.027805,0.179753,-0.000185466,0.313925,0.289236,-0.333169,-0.713055,-0.671607,-0.268571,-0.136984,-1.49825,-1.60358,0.733009,0.318747,-0.780809,0.452963,0.312983,0.753111,-0.611023,0.0713826,0.600855,-0.55438,-0.0031794,-0.3774,-0.101516,0.965609,0.539467,-0.780218,-0.489879,0.041429,-0.551492,0.542579,0.0796815,0.188769,0.228689,0.298869,0.68702,0.478689,0.402972,1.41076,-0.414121,0.238862,-0.0581635,-0.272704,0.114171,0.71837,0.318822,-0.355711,-0.941358,-1.03497,-0.524656,-0.0434943,-0.191182,-0.1299,1.099,-0.204637,-0.581761,-0.618338,0.270956,0.0372918,-0.484854,0.253594,-0.844427,-0.539921,0.765679,0.3225,-0.0178765,-0.0146455,-0.44433,-0.591445,0.330628,-0.593987,0.155137,-0.0613695,-0.452876,-0.599855,-0.102678,0.892168,0.188595,-0.655532,-1.09034,-0.593451,-0.226281,-0.351818,-0.72919,-0.0933011,-0.0311212,0.522039,-0.0534695,0.235854,-0.833241,-0.505631,-0.765775,-1.15852,0.758806,-1.10953,-0.317398,-0.141463,0.272727,0.478515,-0.234943,0.792246,0.372917,-0.440506,0.324809,-0.588887,-0.0117715,-0.0104431,-0.366809,0.29903,-0.940247,-0.0596764,0.277531,-0.218319,-0.230999,-0.0863264,1.08207,0.786685,-0.137821,-0.709007,0.645425,-0.30646,-0.670171,-1.16702,-0.218508,0.574386,-0.41315,-0.349992,0.728824,-0.324293,-0.300605,0.908642,0.166376,-0.286185,-0.252421,0.266507,-0.874262,0.33942,-0.0215851,0.482638,0.0828181,-0.216619,0.170361,0.193362,0.717629,-0.88721,-0.0837425,-0.397393,0.38348,0.0288647,-0.351024,0.670822,1.18609,-0.108423,-0.0959029,-0.24005,0.696341,0.145436,1.05248,-0.350291,1.69662,4.69083,0.492087,0.107098,2.71158,0.553747,3.48245,0.615321,0.58552,4.69083,0,0,0,0.492087,0,0,0,0.107098,2.71158,0.553747,0,0,0,3.48245,0,0,0,0.615321
