# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1772141488
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stanfit/basic_model_0_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_strata,stratum_intercept.1,stratum_intercept.2,stratum_intercept.3,beta.1.1,beta.2.1,beta.3.1,beta.1.2,beta.2.2,beta.3.2,beta.1.3,beta.2.3,beta.3.3,dist_effects.1.1,dist_effects.2.1,dist_effects.3.1,incentive_dist_effects.1.1,incentive_dist_effects.2.1,incentive_dist_effects.3.1,incentive_dist_effects.1.2,incentive_dist_effects.2.2,incentive_dist_effects.3.2,incentive_dist_effects.1.3,incentive_dist_effects.2.3,incentive_dist_effects.3.3,cluster_effects.1,cluster_effects.2,cluster_effects.3,cluster_effects.4,cluster_effects.5,cluster_effects.6,cluster_effects.7,cluster_effects.8,cluster_effects.9,cluster_effects.10,cluster_effects.11,cluster_effects.12,cluster_effects.13,cluster_effects.14,cluster_effects.15,cluster_effects.16,cluster_effects.17,cluster_effects.18,cluster_effects.19,cluster_effects.20,cluster_effects.21,cluster_effects.22,cluster_effects.23,cluster_effects.24,cluster_effects.25,cluster_effects.26,cluster_effects.27,cluster_effects.28,cluster_effects.29,cluster_effects.30,cluster_effects.31,cluster_effects.32,cluster_effects.33,cluster_effects.34,cluster_effects.35,cluster_effects.36,cluster_effects.37,cluster_effects.38,cluster_effects.39,cluster_effects.40,cluster_effects.41,cluster_effects.42,cluster_effects.43,cluster_effects.44,cluster_effects.45,cluster_effects.46,cluster_effects.47,cluster_effects.48,cluster_effects.49,cluster_effects.50,cluster_effects.51,cluster_effects.52,cluster_effects.53,cluster_effects.54,cluster_effects.55,cluster_effects.56,cluster_effects.57,cluster_effects.58,cluster_effects.59,cluster_effects.60,cluster_effects.61,cluster_effects.62,cluster_effects.63,cluster_effects.64,cluster_effects.65,cluster_effects.66,cluster_effects.67,cluster_effects.68,cluster_effects.69,cluster_effects.70,cluster_effects.71,cluster_effects.72,cluster_effects.73,cluster_effects.74,cluster_effects.75,cluster_effects.76,cluster_effects.77,cluster_effects.78,cluster_effects.79,cluster_effects.80,cluster_effects.81,cluster_effects.82,cluster_effects.83,cluster_effects.84,cluster_effects.85,cluster_effects.86,cluster_effects.87,cluster_effects.88,cluster_effects.89,cluster_effects.90,cluster_effects.91,cluster_effects.92,cluster_effects.93,cluster_effects.94,cluster_effects.95,cluster_effects.96,cluster_effects.97,cluster_effects.98,cluster_effects.99,cluster_effects.100,cluster_effects.101,cluster_effects.102,cluster_effects.103,cluster_effects.104,cluster_effects.105,cluster_effects.106,cluster_effects.107,cluster_effects.108,cluster_effects.109,cluster_effects.110,cluster_effects.111,cluster_effects.112,cluster_effects.113,cluster_effects.114,cluster_effects.115,cluster_effects.116,cluster_effects.117,cluster_effects.118,cluster_effects.119,cluster_effects.120,cluster_effects.121,cluster_effects.122,cluster_effects.123,cluster_effects.124,cluster_effects.125,cluster_effects.126,cluster_effects.127,cluster_effects.128,cluster_effects.129,cluster_effects.130,cluster_effects.131,cluster_effects.132,cluster_effects.133,cluster_effects.134,cluster_effects.135,cluster_effects.136,cluster_effects.137,cluster_effects.138,cluster_effects.139,cluster_effects.140,cluster_effects.141,cluster_effects.142,cluster_effects.143,cluster_effects.144,tau_beta.1,tau_beta.2,tau_beta.3,tau_dist.1,tau_incentive_dist.1,tau_incentive_dist.2,tau_incentive_dist.3,tau_cluster_effect,Sigma_beta.1.1,Sigma_beta.2.1,Sigma_beta.3.1,Sigma_beta.1.2,Sigma_beta.2.2,Sigma_beta.3.2,Sigma_beta.1.3,Sigma_beta.2.3,Sigma_beta.3.3,Sigma_dist.1.1,Sigma_incentive_dist.1.1,Sigma_incentive_dist.2.1,Sigma_incentive_dist.3.1,Sigma_incentive_dist.1.2,Sigma_incentive_dist.2.2,Sigma_incentive_dist.3.2,Sigma_incentive_dist.1.3,Sigma_incentive_dist.2.3,Sigma_incentive_dist.3.3
-5294,1,0.0625,3,7,0,6732.76,3.49996,0.353839,-0.470732,-0.752592,0.53506,0.246661,0.105293,0.174498,0.286061,-0.116784,-0.483414,1.33044,0.186174,-2.46793,-1.27458,-1.45152,1.45559,0.183808,0.103974,-0.0863923,0.0413015,-1.16007,0.189163,0.579887,0.626407,-1.82507,-0.165022,1.36802,0.172482,0.81768,1.28334,-1.4358,-1.22596,0.70972,0.990118,0.428645,-0.915801,0.229382,0.144211,1.4556,0.891998,0.938985,0.975935,0.650067,-1.01168,-1.76712,-0.794575,-1.21581,-1.04567,-0.40798,-0.28849,0.489588,-0.736242,-0.100607,0.166436,0.978545,0.472633,-1.21344,0.926127,-0.267146,-0.0750478,-0.445776,1.38159,0.296494,-1.69564,-0.413736,1.46052,-1.10421,-0.467681,0.659745,-0.766165,-1.16795,-0.341204,0.385596,-0.0645699,-0.971729,0.241835,-1.08411,1.43782,-0.853968,-0.759309,-1.11531,1.06221,-1.37682,0.0317307,-1.43163,-1.12448,1.0576,-0.406721,0.243118,1.23904,-0.431493,0.29207,-1.3205,0.149112,0.0841031,1.06963,-0.458856,-0.043887,1.12958,-0.241823,-1.43519,1.05513,-1.35374,0.737873,1.41631,1.61208,0.962905,0.745443,1.52948,0.653134,-0.456138,-0.360613,-1.52832,-0.0451008,0.683487,-1.11011,-1.20947,-1.3764,-1.45315,-1.45446,0.176273,-0.96009,-0.911927,0.561306,0.844167,-0.683567,0.0930453,0.666223,0.556882,-0.795184,0.594745,0.0997028,-0.150422,-1.51616,0.855464,-0.762758,0.980913,-0.497818,0.437509,-1.10442,-1.47102,1.2484,0.91762,1.00675,1.18631,-0.0281094,-1.09673,1.15684,-0.319801,-1.15692,-0.334245,-0.624874,-1.01498,-0.813177,0.230199,0.303094,0.236726,-1.2471,0.805301,0.961648,0.37907,1.18606,0.472719,0.239399,1.46431,-1.02255,0.000999105,-0.345319,4.87581,4.30307,5.07645,1.02852,0.332062,0.478385,6.58858,0.535678,4.87581,0,0,0,4.30307,0,0,0,5.07645,1.02852,0.332062,0,0,0,0.478385,0,0,0,6.58858
-5294,0,14.3855,0,1,1,5380.34,3.49996,0.353839,-0.470732,-0.752592,0.53506,0.246661,0.105293,0.174498,0.286061,-0.116784,-0.483414,1.33044,0.186174,-2.46793,-1.27458,-1.45152,1.45559,0.183808,0.103974,-0.0863923,0.0413015,-1.16007,0.189163,0.579887,0.626407,-1.82507,-0.165022,1.36802,0.172482,0.81768,1.28334,-1.4358,-1.22596,0.70972,0.990118,0.428645,-0.915801,0.229382,0.144211,1.4556,0.891998,0.938985,0.975935,0.650067,-1.01168,-1.76712,-0.794575,-1.21581,-1.04567,-0.40798,-0.28849,0.489588,-0.736242,-0.100607,0.166436,0.978545,0.472633,-1.21344,0.926127,-0.267146,-0.0750478,-0.445776,1.38159,0.296494,-1.69564,-0.413736,1.46052,-1.10421,-0.467681,0.659745,-0.766165,-1.16795,-0.341204,0.385596,-0.0645699,-0.971729,0.241835,-1.08411,1.43782,-0.853968,-0.759309,-1.11531,1.06221,-1.37682,0.0317307,-1.43163,-1.12448,1.0576,-0.406721,0.243118,1.23904,-0.431493,0.29207,-1.3205,0.149112,0.0841031,1.06963,-0.458856,-0.043887,1.12958,-0.241823,-1.43519,1.05513,-1.35374,0.737873,1.41631,1.61208,0.962905,0.745443,1.52948,0.653134,-0.456138,-0.360613,-1.52832,-0.0451008,0.683487,-1.11011,-1.20947,-1.3764,-1.45315,-1.45446,0.176273,-0.96009,-0.911927,0.561306,0.844167,-0.683567,0.0930453,0.666223,0.556882,-0.795184,0.594745,0.0997028,-0.150422,-1.51616,0.855464,-0.762758,0.980913,-0.497818,0.437509,-1.10442,-1.47102,1.2484,0.91762,1.00675,1.18631,-0.0281094,-1.09673,1.15684,-0.319801,-1.15692,-0.334245,-0.624874,-1.01498,-0.813177,0.230199,0.303094,0.236726,-1.2471,0.805301,0.961648,0.37907,1.18606,0.472719,0.239399,1.46431,-1.02255,0.000999105,-0.345319,4.87581,4.30307,5.07645,1.02852,0.332062,0.478385,6.58858,0.535678,4.87581,0,0,0,4.30307,0,0,0,5.07645,1.02852,0.332062,0,0,0,0.478385,0,0,0,6.58858
-5294,0,2.43117,0,1,1,5389.81,3.49996,0.353839,-0.470732,-0.752592,0.53506,0.246661,0.105293,0.174498,0.286061,-0.116784,-0.483414,1.33044,0.186174,-2.46793,-1.27458,-1.45152,1.45559,0.183808,0.103974,-0.0863923,0.0413015,-1.16007,0.189163,0.579887,0.626407,-1.82507,-0.165022,1.36802,0.172482,0.81768,1.28334,-1.4358,-1.22596,0.70972,0.990118,0.428645,-0.915801,0.229382,0.144211,1.4556,0.891998,0.938985,0.975935,0.650067,-1.01168,-1.76712,-0.794575,-1.21581,-1.04567,-0.40798,-0.28849,0.489588,-0.736242,-0.100607,0.166436,0.978545,0.472633,-1.21344,0.926127,-0.267146,-0.0750478,-0.445776,1.38159,0.296494,-1.69564,-0.413736,1.46052,-1.10421,-0.467681,0.659745,-0.766165,-1.16795,-0.341204,0.385596,-0.0645699,-0.971729,0.241835,-1.08411,1.43782,-0.853968,-0.759309,-1.11531,1.06221,-1.37682,0.0317307,-1.43163,-1.12448,1.0576,-0.406721,0.243118,1.23904,-0.431493,0.29207,-1.3205,0.149112,0.0841031,1.06963,-0.458856,-0.043887,1.12958,-0.241823,-1.43519,1.05513,-1.35374,0.737873,1.41631,1.61208,0.962905,0.745443,1.52948,0.653134,-0.456138,-0.360613,-1.52832,-0.0451008,0.683487,-1.11011,-1.20947,-1.3764,-1.45315,-1.45446,0.176273,-0.96009,-0.911927,0.561306,0.844167,-0.683567,0.0930453,0.666223,0.556882,-0.795184,0.594745,0.0997028,-0.150422,-1.51616,0.855464,-0.762758,0.980913,-0.497818,0.437509,-1.10442,-1.47102,1.2484,0.91762,1.00675,1.18631,-0.0281094,-1.09673,1.15684,-0.319801,-1.15692,-0.334245,-0.624874,-1.01498,-0.813177,0.230199,0.303094,0.236726,-1.2471,0.805301,0.961648,0.37907,1.18606,0.472719,0.239399,1.46431,-1.02255,0.000999105,-0.345319,4.87581,4.30307,5.07645,1.02852,0.332062,0.478385,6.58858,0.535678,4.87581,0,0,0,4.30307,0,0,0,5.07645,1.02852,0.332062,0,0,0,0.478385,0,0,0,6.58858
-5294,0,0.239791,0,1,1,5378.17,3.49996,0.353839,-0.470732,-0.752592,0.53506,0.246661,0.105293,0.174498,0.286061,-0.116784,-0.483414,1.33044,0.186174,-2.46793,-1.27458,-1.45152,1.45559,0.183808,0.103974,-0.0863923,0.0413015,-1.16007,0.189163,0.579887,0.626407,-1.82507,-0.165022,1.36802,0.172482,0.81768,1.28334,-1.4358,-1.22596,0.70972,0.990118,0.428645,-0.915801,0.229382,0.144211,1.4556,0.891998,0.938985,0.975935,0.650067,-1.01168,-1.76712,-0.794575,-1.21581,-1.04567,-0.40798,-0.28849,0.489588,-0.736242,-0.100607,0.166436,0.978545,0.472633,-1.21344,0.926127,-0.267146,-0.0750478,-0.445776,1.38159,0.296494,-1.69564,-0.413736,1.46052,-1.10421,-0.467681,0.659745,-0.766165,-1.16795,-0.341204,0.385596,-0.0645699,-0.971729,0.241835,-1.08411,1.43782,-0.853968,-0.759309,-1.11531,1.06221,-1.37682,0.0317307,-1.43163,-1.12448,1.0576,-0.406721,0.243118,1.23904,-0.431493,0.29207,-1.3205,0.149112,0.0841031,1.06963,-0.458856,-0.043887,1.12958,-0.241823,-1.43519,1.05513,-1.35374,0.737873,1.41631,1.61208,0.962905,0.745443,1.52948,0.653134,-0.456138,-0.360613,-1.52832,-0.0451008,0.683487,-1.11011,-1.20947,-1.3764,-1.45315,-1.45446,0.176273,-0.96009,-0.911927,0.561306,0.844167,-0.683567,0.0930453,0.666223,0.556882,-0.795184,0.594745,0.0997028,-0.150422,-1.51616,0.855464,-0.762758,0.980913,-0.497818,0.437509,-1.10442,-1.47102,1.2484,0.91762,1.00675,1.18631,-0.0281094,-1.09673,1.15684,-0.319801,-1.15692,-0.334245,-0.624874,-1.01498,-0.813177,0.230199,0.303094,0.236726,-1.2471,0.805301,0.961648,0.37907,1.18606,0.472719,0.239399,1.46431,-1.02255,0.000999105,-0.345319,4.87581,4.30307,5.07645,1.02852,0.332062,0.478385,6.58858,0.535678,4.87581,0,0,0,4.30307,0,0,0,5.07645,1.02852,0.332062,0,0,0,0.478385,0,0,0,6.58858
-4866.61,1,0.0186273,4,15,0,5383.76,2.96939,-0.201259,-1.01675,-0.250923,-0.0472788,-0.280872,0.387594,0.0323616,0.748646,0.0875316,-0.0743126,0.621091,0.219248,-2.16476,-0.589563,-0.94314,1.27915,0.519806,0.118585,0.0626942,0.736752,-0.791712,0.34469,0.596301,0.550577,-1.69419,-0.0954926,1.12878,0.460275,0.871297,1.14262,-1.4854,-1.01473,0.462947,0.945434,0.438587,-1.05034,0.235402,0.172638,1.5388,0.897523,0.78066,0.772763,0.659518,-0.814988,-1.57968,-0.689306,-1.2164,-0.916537,-0.298442,-0.337075,0.474196,-0.785173,0.152625,0.257494,1.00875,0.503006,-1.19044,0.68249,-0.191366,-0.220588,-0.555713,1.53863,0.227186,-1.43475,-0.542757,1.48959,-0.83595,-0.393512,0.805565,-0.865192,-1.14893,-0.336961,0.617608,0.0821064,-0.588555,0.274361,-0.970368,1.32871,-0.76091,-0.863482,-1.26589,1.05203,-1.33682,-0.00863753,-1.27424,-0.734337,1.10007,-0.58235,0.0635226,1.02447,-0.269655,0.107472,-1.08092,0.240567,0.0869702,1.0411,-0.529024,-0.0673053,0.967227,-0.429238,-1.21218,0.84646,-1.03629,0.572815,1.26244,1.34892,1.15854,0.644674,1.40816,0.614666,-0.350029,-0.122712,-1.50537,0.0101688,0.453312,-1.26828,-1.35759,-1.05719,-1.28322,-1.46569,0.319954,-0.768367,-0.703645,0.56994,0.551987,-0.638915,0.0313549,0.768626,0.475294,-0.652061,0.370572,-0.0218617,-0.206385,-1.422,0.862988,-0.436841,0.948441,-0.27175,0.30724,-1.05691,-1.25667,1.12224,1.09762,0.917969,1.32456,0.205794,-0.988311,1.05233,-0.359887,-1.34974,-0.2028,-0.496786,-0.959079,-0.863209,0.206378,0.375188,-0.0591005,-1.08053,0.581642,0.954099,0.313994,0.952437,0.491129,0.145866,1.54212,-1.04295,-0.38537,-0.0241846,5.58045,5.58009,5.81954,0.986455,0.394306,0.486853,6.90777,1.58023,5.58045,0,0,0,5.58009,0,0,0,5.81954,0.986455,0.394306,0,0,0,0.486853,0,0,0,6.90777
-4315.57,1,0.0257257,5,31,0,4948.81,3.82162,-0.106581,-0.915248,-0.545489,0.124135,-0.0223873,0.109475,0.138282,0.612449,-0.790472,-0.237981,0.668307,-0.242915,-1.18071,-0.233757,-0.678045,0.357771,0.00638392,0.187756,-0.733444,0.317909,0.705317,1.48202,0.619537,-0.268624,0.0282271,-0.912443,0.238108,0.200572,-0.0853939,-0.397538,-0.0722735,0.680838,0.820178,0.205039,-0.229297,-0.137256,-0.899881,-0.555885,0.865874,0.583543,-0.113092,0.387531,-0.0551554,0.689051,1.23802,0.199377,-0.80061,-1.06752,-0.567417,-0.930421,-0.0618218,0.129595,1.10697,0.0391926,0.682768,-0.133129,-0.387957,-0.387553,-0.462664,0.655692,-0.212782,0.651907,-0.845531,-0.85959,0.0654735,-0.202916,-0.487321,-0.904289,0.704749,-0.114472,-0.603389,1.03649,-0.0386911,-1.03106,0.308481,0.427174,-0.603946,-0.121758,0.0455488,0.156315,-1.34691,-0.0884794,-0.963339,0.060917,1.20647,0.682626,0.246724,-0.624829,-0.147175,-0.244218,0.707363,-1.01898,-0.876243,-0.694941,0.865393,-0.241123,-0.0712582,-1.27938,-1.37094,-0.124478,-1.70005,0.207661,-1.25147,0.667529,0.132721,0.555811,0.79059,-0.0178978,0.996367,1.01792,-0.37063,0.339451,-0.807273,0.613482,-0.600866,-0.127556,-1.01044,-0.0271849,-0.116187,-0.593674,0.262979,-0.0923233,-0.372368,1.36407,0.642591,-0.181242,-0.908216,1.45851,-0.938991,-1.21534,-0.520644,-0.31488,0.144342,-0.391371,-0.423673,-0.812819,0.677998,-0.19453,0.811015,-0.440446,-0.0281213,-0.00163596,-0.0118841,-1.0084,0.547373,0.625904,0.147014,0.482412,-0.126558,0.505071,-1.08263,0.737446,-1.06562,-0.708299,-0.090863,0.86515,-0.866598,0.0769454,0.0998369,1.36645,0.337498,0.101962,-0.451766,0.73194,0.405903,0.501172,-0.8868,2.45821,2.6466,6.64367,2.4803,0.790178,1.21854,0.931679,4.96618,0.658428,2.6466,0,0,0,6.64367,0,0,0,2.4803,0.790178,1.21854,0,0,0,0.931679,0,0,0,4.96618
-4260.4,1,0.0404064,5,31,0,4392.87,4.89501,-0.194693,-0.794816,-0.60453,-0.290591,-0.314546,0.334152,-0.690309,0.491622,-0.0129426,0.488632,0.508493,-0.579956,-1.13008,-0.341539,-0.777001,0.211464,0.149158,0.342195,-0.454388,0.565746,0.366995,0.459979,0.897291,0.0597025,0.0327002,-0.654527,0.501752,0.347809,0.662962,0.00438099,-0.244127,-0.0443505,0.801638,0.348602,0.0232374,-0.177401,-0.547094,-0.154097,0.713573,0.965281,0.316707,0.551787,-0.195878,0.812774,0.675608,0.237725,-0.567494,-0.705295,-0.605763,-1.23512,0.2879,-0.158952,0.912462,-0.0550521,0.871806,0.408203,-0.114033,0.23993,-0.251827,0.362602,-0.165693,0.906346,-0.963617,-0.97875,-0.294433,0.186107,-1.00873,-0.606766,0.440571,-0.549937,-0.404074,0.860394,0.0929519,-0.249319,-0.117701,0.14983,0.140059,-0.109977,-0.0798276,0.348031,-1.48335,0.145123,-0.651916,0.0631508,0.940102,0.271555,-0.100501,-0.397622,-0.376721,-0.0802996,0.285819,-1.45042,-0.167573,-1.01058,0.979434,0.137571,-0.763971,-1.2698,-1.30399,-0.122506,-1.53895,-0.473655,-1.30813,0.255035,0.203389,0.364402,0.535753,0.318063,0.997443,1.1303,0.0430095,0.0786667,-0.655723,0.422853,-0.836209,0.0159408,-0.727056,-0.134989,-0.359312,-0.985231,-0.0138037,0.152113,-0.521265,1.19651,1.01943,-0.468428,-0.527675,1.48688,-0.642659,-1.17406,-0.115472,-0.454975,0.310606,-0.342718,-0.513897,-1.05868,0.592982,-0.24084,0.471319,-0.605539,-0.0709354,0.189457,0.532459,-0.328249,0.222181,0.680961,0.16966,0.388616,0.00373992,-0.096972,-0.555995,0.341238,-0.677748,-0.67334,-0.0980186,1.08682,-0.856412,0.259324,0.00146589,1.61574,0.206923,-0.0378526,-0.741872,0.412372,-0.201119,0.275025,-0.948395,2.1631,2.96305,8.07684,2.91294,0.938333,2.48316,0.603553,3.56042,0.59725,2.96305,0,0,0,8.07684,0,0,0,2.91294,0.938333,2.48316,0,0,0,0.603553,0,0,0,3.56042
-4260.4,0.0209023,0.0687243,2,6,1,4341.1,4.89501,-0.194693,-0.794816,-0.60453,-0.290591,-0.314546,0.334152,-0.690309,0.491622,-0.0129426,0.488632,0.508493,-0.579956,-1.13008,-0.341539,-0.777001,0.211464,0.149158,0.342195,-0.454388,0.565746,0.366995,0.459979,0.897291,0.0597025,0.0327002,-0.654527,0.501752,0.347809,0.662962,0.00438099,-0.244127,-0.0443505,0.801638,0.348602,0.0232374,-0.177401,-0.547094,-0.154097,0.713573,0.965281,0.316707,0.551787,-0.195878,0.812774,0.675608,0.237725,-0.567494,-0.705295,-0.605763,-1.23512,0.2879,-0.158952,0.912462,-0.0550521,0.871806,0.408203,-0.114033,0.23993,-0.251827,0.362602,-0.165693,0.906346,-0.963617,-0.97875,-0.294433,0.186107,-1.00873,-0.606766,0.440571,-0.549937,-0.404074,0.860394,0.0929519,-0.249319,-0.117701,0.14983,0.140059,-0.109977,-0.0798276,0.348031,-1.48335,0.145123,-0.651916,0.0631508,0.940102,0.271555,-0.100501,-0.397622,-0.376721,-0.0802996,0.285819,-1.45042,-0.167573,-1.01058,0.979434,0.137571,-0.763971,-1.2698,-1.30399,-0.122506,-1.53895,-0.473655,-1.30813,0.255035,0.203389,0.364402,0.535753,0.318063,0.997443,1.1303,0.0430095,0.0786667,-0.655723,0.422853,-0.836209,0.0159408,-0.727056,-0.134989,-0.359312,-0.985231,-0.0138037,0.152113,-0.521265,1.19651,1.01943,-0.468428,-0.527675,1.48688,-0.642659,-1.17406,-0.115472,-0.454975,0.310606,-0.342718,-0.513897,-1.05868,0.592982,-0.24084,0.471319,-0.605539,-0.0709354,0.189457,0.532459,-0.328249,0.222181,0.680961,0.16966,0.388616,0.00373992,-0.096972,-0.555995,0.341238,-0.677748,-0.67334,-0.0980186,1.08682,-0.856412,0.259324,0.00146589,1.61574,0.206923,-0.0378526,-0.741872,0.412372,-0.201119,0.275025,-0.948395,2.1631,2.96305,8.07684,2.91294,0.938333,2.48316,0.603553,3.56042,0.59725,2.96305,0,0,0,8.07684,0,0,0,2.91294,0.938333,2.48316,0,0,0,0.603553,0,0,0,3.56042
-4245.15,0.999981,0.00566076,8,255,0,4355.51,0.294854,-0.345983,-0.183706,-0.562409,-0.277912,-0.48927,-0.0138701,-0.290783,-0.288568,0.350158,-0.0135806,0.384423,-0.27985,-0.789432,-1.23231,-2.1634,0.558509,0.607681,0.466272,-0.247917,1.0434,1.18334,0.144445,0.397344,2.03902,0.678782,-0.188105,-0.197959,0.188666,-0.210579,-0.119472,0.248927,-0.476048,-0.0633479,0.777134,-0.341463,-0.326925,0.0965521,-0.551431,0.984277,-0.204773,0.344411,0.229568,0.47119,0.583857,0.681674,0.0331099,0.148773,-1.27104,0.25142,-0.843193,-1.06945,-0.068309,0.602577,0.0903561,0.127406,-0.634426,0.0930505,-0.373716,-0.597594,-0.572304,-0.755983,0.582145,-0.55513,0.0611183,0.422978,0.473545,-0.161881,-0.085979,-0.0450542,0.405838,-0.409234,0.392615,0.553334,0.272923,0.593467,0.137438,-0.276403,0.0296459,-0.138822,0.0632344,0.492844,-0.170272,0.548314,0.052827,0.37943,0.627102,0.164137,-0.67753,-0.475414,0.662657,0.114417,-0.385118,-0.248117,0.393407,0.172587,-0.72076,-0.0914923,-0.940987,-0.109528,-1.08519,-0.390721,1.04285,-0.829212,0.626898,0.732632,0.287424,0.802003,-0.347659,0.394767,0.790564,-0.856049,0.268601,-1.2133,-0.0575533,-0.336745,-0.100456,0.0548617,-1.0298,0.405449,0.417616,0.23884,0.0898324,0.347654,0.0901209,0.0459981,-0.0981408,-0.41004,0.214291,0.0800088,0.450389,-0.449378,-0.700613,-0.204004,0.0640033,-0.253935,1.52893,-0.401013,-0.677034,0.889685,-0.64619,-0.114166,-0.666251,0.325978,-1.59718,0.559219,-0.221244,-0.0505746,0.292522,0.0511527,-0.524519,0.14133,0.990457,0.0931736,0.241166,-1.66696,1.07447,-0.413894,-0.392969,-0.0958893,0.73063,0.335316,0.218939,-0.0373353,0.809684,0.879505,0.942933,-0.174896,1.33674,0.867682,5.42198,0.935357,1.11792,0.53238,4.03791,1.17108,0.517211,0.867682,0,0,0,5.42198,0,0,0,0.935357,1.11792,0.53238,0,0,0,4.03791,0,0,0,1.17108
-4231.05,0.999524,0.0102668,7,127,0,4328.85,2.44854,-0.544937,-0.183242,-0.253158,0.268549,-0.557559,-0.209301,0.118557,-0.0545687,-0.0663663,-0.187065,0.59552,-0.203386,-0.565723,-1.23681,-2.16477,0.343525,0.538232,-0.28673,-0.337893,0.730237,0.94481,0.261688,0.217763,2.02901,0.508991,0.491963,-0.224325,0.342287,-0.00856172,-0.148669,0.0992023,0.0140882,0.546344,0.747338,-0.154133,0.00908747,-0.11124,-0.703309,0.811037,0.557112,0.709987,-0.0227972,0.178799,0.84124,0.24276,-0.503128,0.208519,-0.946628,0.252104,-0.998705,-0.774249,0.0960219,-0.209635,-0.492485,-0.44255,-0.426018,-0.159316,-0.644606,-0.579187,-0.0927721,-0.474692,0.837934,-0.193137,-0.19456,0.158778,0.194603,0.0965403,-0.136198,-0.229379,0.580127,-0.0669281,0.646195,0.639586,0.479895,0.439757,0.392563,-0.35288,-0.874538,-0.530976,0.724227,0.318574,-0.275866,0.578968,0.0153362,0.294525,0.407936,-0.0841224,-0.409997,0.105342,0.549116,0.28299,-0.221664,0.127136,-0.419453,-0.342735,-0.448777,-0.314996,-0.543595,-0.783659,-0.993768,-0.473443,0.847655,-0.976428,0.683729,0.764551,0.0488254,1.29006,-0.456355,0.730305,0.690263,-0.876815,0.203864,-0.880341,-0.160881,-0.293208,-0.607729,-0.0374991,-0.780702,0.466807,0.0221236,0.00683299,-0.126894,-0.165622,0.107508,-0.197468,-0.332945,-0.473316,0.339616,0.332278,-0.0637275,-0.509769,-1.1765,-0.254355,-0.156125,-0.17023,1.22965,-0.442398,-0.791905,0.57948,-0.407934,-0.440811,-0.117092,0.291861,-1.12486,0.649154,-0.378054,0.284206,-0.00211313,-0.0891043,-0.534954,0.14112,0.670572,0.19226,0.518435,-1.46013,1.08265,-0.4199,-0.196726,-0.166534,0.735011,-0.0675451,0.604661,-0.170467,0.1634,-0.118154,0.967441,-0.143747,1.77573,1.24693,3.8009,0.626465,1.53092,0.545676,2.52709,1.66017,0.521377,1.24693,0,0,0,3.8009,0,0,0,0.626465,1.53092,0.545676,0,0,0,2.52709,0,0,0,1.66017
